id,name,vendor,cores,architecture,l3_mb,tdp_default_w,socket,socket_count,memory_channels,memory_speed_mts,specrate_1p,specrate_1p_note,price_list_usd,price_street_usd,price_note,source,confidence
epyc-9645,AMD EPYC 9645,AMD,96,Zen 5c,256,320.0,SP5,1P/2P,12,6400.0,1004.0,"median of 6 published 1-chip int_base results, range 892-1080, newest 2025-11-17",11048.0,,,sources#amd-epyc-specs,MEASURED
epyc-9745,AMD EPYC 9745,AMD,128,Zen 5c,256,400.0,SP5,1P/2P,12,6400.0,1155.0,"median of 10 published 1-chip int_base results, range 1070-1270, newest 2025-11-17",12141.0,,,sources#amd-epyc-specs,MEASURED
epyc-9825,AMD EPYC 9825,AMD,144,Zen 5c,384,390.0,SP5,1P/2P,12,6400.0,1240.0,"median of 10 published 1-chip int_base results, range 1130-1370, newest 2026-01-06",13006.0,,,sources#amd-epyc-specs,MEASURED
epyc-9845,AMD EPYC 9845,AMD,160,Zen 5c,320,390.0,SP5,1P/2P,12,6400.0,1250.0,"median of 16 published 1-chip int_base results, range 973-1360, newest 2026-04-02",13564.0,,,sources#amd-epyc-specs,MEASURED
epyc-9965,AMD EPYC 9965,AMD,192,Zen 5c,384,500.0,SP5,1P/2P,12,6400.0,1525.0,"median of 12 published 1-chip int_base results, range 1260-1630, newest 2025-11-20",14813.0,,,sources#amd-epyc-specs,MEASURED
epyc-9015,AMD EPYC 9015,AMD,8,Zen 5,64,125.0,SP5,1P/2P,12,6400.0,118.0,"median of 16 published 1-chip int_base results, range 113-123, newest 2026-03-03",527.0,,,sources#amd-epyc-specs,MEASURED
epyc-9115,AMD EPYC 9115,AMD,16,Zen 5,64,125.0,SP5,1P/2P,12,6400.0,220.0,"median of 9 published 1-chip int_base results, range 193-233, newest 2026-03-12",726.0,,,sources#amd-epyc-specs,MEASURED
epyc-9135,AMD EPYC 9135,AMD,16,Zen 5,64,200.0,SP5,1P/2P,12,6400.0,232.5,"median of 14 published 1-chip int_base results, range 224-246, newest 2026-02-06",1214.0,,,sources#amd-epyc-specs,MEASURED
epyc-9175f,AMD EPYC 9175F,AMD,16,Zen 5,512,320.0,SP5,1P/2P,12,6400.0,298.0,"median of 9 published 1-chip int_base results, range 269-311, newest 2025-11-17",4256.0,,,sources#amd-epyc-specs,MEASURED
epyc-9255,AMD EPYC 9255,AMD,24,Zen 5,128,200.0,SP5,1P/2P,12,6400.0,348.0,"median of 11 published 1-chip int_base results, range 327-371, newest 2026-02-06",2495.0,,,sources#amd-epyc-specs,MEASURED
epyc-9275f,AMD EPYC 9275F,AMD,24,Zen 5,256,320.0,SP5,1P/2P,12,6400.0,388.0,"median of 10 published 1-chip int_base results, range 351-415, newest 2026-03-23",3439.0,,,sources#amd-epyc-specs,MEASURED
